metodo,variavel,seed,miss_rate,n_avaliado,RMSE,MAE,RMSE_norm,MAE_norm
knn,DBO,42,0.2,16,13.1545855583425,6.257337442498064,0.2010798158682402,0.13295225509259023
knn,OD,42,0.2,10,3.6199661776004124,2.719466860154518,0.37168962955278145,0.2702729218473404
knn,Nitrato,42,0.2,11,0.3075307623132028,0.18298241500138104,0.45153808899163034,0.38453710505192
knn,Nitrogênio Amoniacal Total,42,0.2,17,2.980587346027523,2.573471356253587,0.5517835350823251,0.4758700098037052
knn,Fósforo Total,42,0.2,14,325.78342925588237,101.56545403575285,0.3580304340948571,0.18423133565721955
knn,Condutividade,42,0.2,18,10083.396373020776,7302.537986204847,0.31418322343805,0.2275359252883668
knn,pH,42,0.2,22,0.474777839616965,0.3726432293554453,0.21101237316309557,0.1656192130468646
knn,Turbidez,42,0.2,22,178.43377912270597,56.48141850283382,0.2804271923087405,0.2071230452507216
knn,Temperatura da Água,42,0.2,20,3.973535078625861,2.9909552542800357,0.39735350786258616,0.2990955254280036
knn,Sólidos Suspensos Totais,42,0.2,4,18.431483619342497,16.512404341130758,0.2106955444125032,0.1832710829816886
knn,DBO,7,0.2,14,8.054772792513457,6.02881622883592,0.2885150392320616,0.18844876167680794
knn,OD,7,0.2,13,3.4677246663099948,2.7690001860419042,0.3165035751359865,0.2709147421475478
knn,Nitrato,7,0.2,21,0.1229289930567538,0.07238275156558054,0.6261502665529829,0.531119826556908
knn,Nitrogênio Amoniacal Total,7,0.2,13,3.069078429563364,2.65271172750554,0.45224387913462694,0.3757464756018536
knn,Fósforo Total,7,0.2,9,0.2737243594724284,0.25301644244707494,0.05397654045917182,0.051024149294379914
knn,Condutividade,7,0.2,11,11504.320959553073,7216.714042456507,0.3584570623653353,0.22486178234113874
knn,pH,7,0.2,16,0.4699666830771849,0.37011653888730495,0.20887408136763763,0.16449623950546888
knn,Turbidez,7,0.2,18,29.46211550191279,14.403007116779573,0.1845878747314831,0.1357580643294002
knn,Temperatura da Água,7,0.2,15,1.9208213911840712,1.414669566929665,0.19208213911840707,0.1414669566929664
knn,Sólidos Suspensos Totais,7,0.2,5,35.34459674502747,33.89578980661969,0.32277822739579376,0.311041134757511
knn,DBO,2026,0.2,13,5.022638645231149,4.064582934370344,0.13694149762438437,0.11049470984477458
knn,OD,2026,0.2,14,3.678071025319284,3.103046722578634,0.33790198416405615,0.2965702886438245
knn,Nitrato,2026,0.2,11,0.1704327996595478,0.1265023353154774,0.8993458719049687,0.7583200651249675
knn,Nitrogênio Amoniacal Total,2026,0.2,10,2.183924428392379,1.9871021930462205,0.4233724543713541,0.3581068297974788
knn,Fósforo Total,2026,0.2,9,0.4059710019583842,0.3435499389267118,0.0962427400480932,0.08044570155331345
knn,Condutividade,2026,0.2,12,8325.977667617695,5913.60501118688,0.25942474193362297,0.18425889609231882
knn,pH,2026,0.2,15,0.5412593237198146,0.45497864288916623,0.24055969943102865,0.20221273017296268
knn,Turbidez,2026,0.2,14,216.2125467389113,63.90422890191282,0.2046313909661307,0.127999881332331
knn,Temperatura da Água,2026,0.2,12,2.484027312200708,1.9202001770560526,0.2484027312200708,0.19202001770560528
knn,Sólidos Suspensos Totais,2026,0.2,1,25.61970600423045,25.61970600423045,0.1829904078960802,0.1829904078960802
mice,DBO,42,0.2,16,18.926469857866948,9.462124206774085,0.2517566336329495,0.18063326035765992
mice,OD,42,0.2,10,2.610319626931452,2.073326429433029,0.2501703880287745,0.19451236710686576
mice,Nitrato,42,0.2,11,0.212165542241865,0.1316337236505616,0.5539682636899519,0.4938491024404578
mice,Nitrogênio Amoniacal Total,42,0.2,17,15.27961465456211,7.5111776640128625,0.8145547667520646,0.6055093750055194
mice,Fósforo Total,42,0.2,14,325.8410190880145,101.55289529484193,0.3784125770964019,0.1984307805490724
mice,Condutividade,42,0.2,18,5811.0406778099605,4528.486423626979,0.18106314818377142,0.14110071738103624
mice,pH,42,0.2,22,0.718551588011349,0.49768303597451147,0.3193562613383772,0.2211924604331161
mice,Turbidez,42,0.2,22,71.84154845635724,26.961106023826176,0.18736022254610268,0.13089409211621586
mice,Temperatura da Água,42,0.2,20,3.489203878783728,2.556423635039199,0.34892038787837276,0.2556423635039198
mice,Sólidos Suspensos Totais,42,0.2,4,40.932273973966915,38.64893943857602,0.42786833685345493,0.4017128087166243
mice,DBO,7,0.2,14,7.162968742521953,5.538807900592127,0.30104419371970037,0.19535422838439806
mice,OD,7,0.2,13,2.5308932763535155,1.936385019791009,0.2401044320816291,0.18544933386608653
