metodo,variavel,seed,miss_rate,n_avaliado,RMSE,MAE,RMSE_norm,MAE_norm
media_global,DBO,42,0.2,16,16.852761223909535,8.473370424479103,0.2656326047318528,0.18721683794445482
media_global,OD,42,0.2,10,3.7640482539427023,3.2938482106425377,0.3537390647687192,0.3225742741033851
media_global,Nitrato,42,0.2,11,0.22145495228703616,0.13857143337986025,0.7006299109223127,0.6217935343861801
media_global,Nitrogênio Amoniacal Total,42,0.2,17,2.8482014389845305,2.699499377362304,0.5970466525502327,0.5219203679913677
media_global,Fósforo Total,42,0.2,14,325.8111202857355,101.68153655957397,0.38261705380068906,0.2156149910798794
media_global,Condutividade,42,0.2,18,16196.110097643388,13343.915334632879,0.5046460428006291,0.41577601217152366
media_global,pH,42,0.2,22,0.6545637546302118,0.48324982104509656,0.29091722428009403,0.2147776982422652
media_global,Turbidez,42,0.2,22,189.668108392203,65.91686017352623,0.3619978380867034,0.2844023506652865
media_global,Temperatura da Água,42,0.2,20,3.967916834627196,3.7300000000000013,0.3967916834627196,0.37299999999999994
media_global,Sólidos Suspensos Totais,42,0.2,4,20.885117280503774,19.250000000000004,0.23291233773337497,0.21258349425490375
media_global,DBO,7,0.2,14,7.137054356659587,5.627142857142859,0.2909379233776712,0.1872583680110473
media_global,OD,7,0.2,13,3.9749585474483653,3.212132550741391,0.3555717981131314,0.31323469566653217
media_global,Nitrato,7,0.2,21,0.1346971448774444,0.06306122700849823,0.5667344229047935,0.4794921566374597
media_global,Nitrogênio Amoniacal Total,7,0.2,13,2.8360410588318197,2.58503000499864,0.4676026715543538,0.3754697132451292
media_global,Fósforo Total,7,0.2,9,0.4469673091763537,0.3820424336878892,0.093018135841248,0.08459906078483478
media_global,Condutividade,7,0.2,11,17700.862142339698,14430.11254651781,0.5515318172349878,0.4496202575720636
media_global,pH,7,0.2,16,0.7523364793065375,0.6115206692913384,0.33437176858068335,0.2717869641294838
media_global,Turbidez,7,0.2,18,36.70063383782782,20.75654060857746,0.2541527183257983,0.2044621675932908
media_global,Temperatura da Água,7,0.2,15,2.853873778470949,2.4670791749833665,0.2853873778470949,0.24670791749833665
media_global,Sólidos Suspensos Totais,7,0.2,5,36.85670721695211,36.12547134920838,0.33371055858266735,0.3311315396564093
media_global,DBO,2026,0.2,13,8.281533195675367,6.45149014503193,0.25821054127173343,0.1800934703658662
media_global,OD,2026,0.2,14,4.330121209748068,3.8170344361732402,0.4006073320082102,0.37381684622760664
media_global,Nitrato,2026,0.2,11,0.1365396415301088,0.07220779701622387,0.5908214786818483,0.5089221929519283
media_global,Nitrogênio Amoniacal Total,2026,0.2,10,2.6392152806456783,2.200765961010613,0.5303880079701293,0.41292085518857674
media_global,Fósforo Total,2026,0.2,9,0.5053183664179224,0.36473622068557154,0.09782945923551804,0.08612668039769258
media_global,Condutividade,2026,0.2,12,13612.65495104826,11006.42066276803,0.42414952798181155,0.34294324991487607
media_global,pH,2026,0.2,15,0.5830884608367527,0.49376115485564315,0.2591504270385567,0.21944940215806355
media_global,Turbidez,2026,0.2,14,233.8544773224225,82.33039013634205,0.3557434559834123,0.2746251899014777
media_global,Temperatura da Água,2026,0.2,12,3.563278989015198,2.99479374584165,0.3563278989015196,0.2994793745841649
media_global,Sólidos Suspensos Totais,2026,0.2,1,48.54245224868062,48.54245224868062,0.3919348282817056,0.3919348282817056
media_estacao,DBO,42,0.2,16,16.410540118516142,8.191133925844348,0.2575803841650089,0.16843297613001584
media_estacao,OD,42,0.2,10,3.720965355920796,3.141079375269514,0.35068805885922993,0.3056899657874944
media_estacao,Nitrato,42,0.2,11,0.22103560264197714,0.13885274081080545,0.7185827025471432,0.6355071254234458
media_estacao,Nitrogênio Amoniacal Total,42,0.2,17,3.1303443370899116,2.751765025454334,0.5868439893136358,0.5065885382009698
media_estacao,Fósforo Total,42,0.2,14,325.9167026547216,101.62770932007162,0.4259471911380741,0.22462394455519638
media_estacao,Condutividade,42,0.2,18,9629.806413617474,7141.770342627272,0.30005005339370205,0.22252665116929243
media_estacao,pH,42,0.2,22,0.6408143102279199,0.46748055761909185,0.28480636010129773,0.20776913671959638
media_estacao,Turbidez,42,0.2,22,182.0712778383354,60.76593547595808,0.2981486705499052,0.245851994323498
media_estacao,Temperatura da Água,42,0.2,20,3.934553756140693,3.5690125391849534,0.39345537561406935,0.3569012539184953
media_estacao,Sólidos Suspensos Totais,42,0.2,4,22.269408752367664,19.26125457375377,0.2574931625653684,0.21271382896122548
media_estacao,DBO,7,0.2,14,8.439866143851106,7.0323168615610365,0.31779942444708026,0.21923089997386264
media_estacao,OD,7,0.2,13,4.0777396173647436,3.1619490283713247,0.3703522005266359,0.3103728387747227
media_estacao,Nitrato,7,0.2,21,0.1337794665362863,0.06370190235346573,0.5835607659059864,0.4979058820602757
media_estacao,Nitrogênio Amoniacal Total,7,0.2,13,3.31524625495444,3.1525337187029243,0.5021731514519278,0.45070121741626384
media_estacao,Fósforo Total,7,0.2,9,0.2614942365167941,0.18575812172977071,0.0886941039731964,0.049662190849221556
media_estacao,Condutividade,7,0.2,11,13460.213619694112,9360.978787878788,0.41939968902891855,0.2916737953473792
media_estacao,pH,7,0.2,16,0.734326151520332,0.6000103741062308,0.32636717845348084,0.26667127738054697
media_estacao,Turbidez,7,0.2,18,27.886138551101745,15.715303510181826,0.176770606485311,0.15121047661151332
media_estacao,Temperatura da Água,7,0.2,15,2.859681454002768,2.4631269592476497,0.2859681454002768,0.24631269592476493
media_estacao,Sólidos Suspensos Totais,7,0.2,5,37.65501829754957,36.010041784403,0.3472123450361546,0.33162152960215996
media_estacao,DBO,2026,0.2,13,6.90698153877982,5.802415417029867,0.20348589691565885,0.14991832798996893
media_estacao,OD,2026,0.2,14,4.3917329584788565,3.8585652862060584,0.41451956842945353,0.38128588246082706
media_estacao,Nitrato,2026,0.2,11,0.13719405234594373,0.07366689511892636,0.6251072813875527,0.5470162684249926
media_estacao,Nitrogênio Amoniacal Total,2026,0.2,10,2.7010841712852653,2.380106520611041,0.5034763269379315,0.4205136784320313
media_estacao,Fósforo Total,2026,0.2,9,0.3956305797129746,0.2819372346385596,0.08353489595895552,0.06515575916476399
media_estacao,Condutividade,2026,0.2,12,7511.506800388667,5610.620125884313,0.23404707423159055,0.17481835003066962
media_estacao,pH,2026,0.2,15,0.5705022353787066,0.48559056860742256,0.25355654905720293,0.21581803049218778
media_estacao,Turbidez,2026,0.2,14,225.10189774791723,71.07224285591056,0.2380067723805663,0.15283771572428578
media_estacao,Temperatura da Água,2026,0.2,12,3.733392274839709,3.2602893155694876,0.3733392274839709,0.3260289315569488
media_estacao,Sólidos Suspensos Totais,2026,0.2,1,36.05347091236564,36.05347091236564,0.2710900814445762,0.2710900814445762
mediana_global,DBO,42,0.2,16,16.657167376237762,8.353749999999994,0.2656199511377962,0.18399834359097342
mediana_global,OD,42,0.2,10,3.6670151349564946,3.21,0.3430731072389542,0.31268032654020184
mediana_global,Nitrato,42,0.2,11,0.2245196893572831,0.1409090909090909,0.7651023898602813,0.6856013277661542
mediana_global,Nitrogênio Amoniacal Total,42,0.2,17,2.9909451585036586,2.8082352941176474,0.6144574688207387,0.5340576294048103
mediana_global,Fósforo Total,42,0.2,14,325.77288224642297,101.57785714285669,0.36627300879355296,0.18827525197905773
mediana_global,Condutividade,42,0.2,18,17076.01755224105,13172.333333333334,0.5320626145772123,0.41042977919029516
mediana_global,pH,42,0.2,22,0.6577959064523394,0.4768181818181819,0.29235373620103977,0.21191919191919187
mediana_global,Turbidez,42,0.2,22,189.90329335552005,66.18636363636362,0.3656817035997184,0.2882518058078256
mediana_global,Temperatura da Água,42,0.2,20,4.139323616244567,3.7800000000000002,0.4139323616244566,0.37799999999999995
mediana_global,Sólidos Suspensos Totais,42,0.2,4,21.301408404140798,19.250000000000004,0.24239807855535878,0.21258349425490378
mediana_global,DBO,7,0.2,14,7.118308386527962,5.627142857142858,0.2960855194398852,0.18725836801104728
mediana_global,OD,7,0.2,13,3.885772866397466,3.115384615384617,0.3454705997040273,0.3018186023243977
mediana_global,Nitrato,7,0.2,21,0.13678276137556153,0.06428571428571428,0.5914467978279587,0.5129152865031604
mediana_global,Nitrogênio Amoniacal Total,7,0.2,13,2.832389586414759,2.56923076923077,0.47485330937149156,0.3737061795354837
mediana_global,Fósforo Total,7,0.2,9,0.3638986427870022,0.2933333333333333,0.07236450875479862,0.06112500908935976
mediana_global,Condutividade,7,0.2,11,18642.815898795,14591.545454545454,0.5808816569699944,0.4546502603148705
mediana_global,pH,7,0.2,16,0.751036783386806,0.600625,0.3337941259496915,0.2669444444444444
mediana_global,Turbidez,7,0.2,18,36.96248022582419,20.838888888888885,0.2549263339213764,0.20563838999795553
mediana_global,Temperatura da Água,7,0.2,15,2.8944775003444057,2.220000000000001,0.28944775003444057,0.22200000000000006
mediana_global,Sólidos Suspensos Totais,7,0.2,5,34.49637662132068,34.0,0.3147572330141062,0.309335287738874
mediana_global,DBO,2026,0.2,13,7.953286693610967,6.101538461538459,0.2564581092746774,0.1706892684071889
mediana_global,OD,2026,0.2,14,4.244492229432665,3.7571428571428562,0.39197688501580263,0.366749740825333
mediana_global,Nitrato,2026,0.2,11,0.13902256193608548,0.07454545454545454,0.6417790126971901,0.5727299863319023
mediana_global,Nitrogênio Amoniacal Total,2026,0.2,10,2.7608730503230325,2.362000000000001,0.5459641854067165,0.4309105304350247
mediana_global,Fósforo Total,2026,0.2,9,0.48067082753631357,0.35111111111111115,0.09808139509565353,0.08253734394774646
mediana_global,Condutividade,2026,0.2,12,15537.993328183233,12572.833333333334,0.48414012987422056,0.39175027523316924
mediana_global,pH,2026,0.2,15,0.589841786696512,0.5006666666666668,0.2621519051984498,0.22251851851851853
mediana_global,Turbidez,2026,0.2,14,234.0945853557,82.54214285714284,0.35974393211056793,0.27764976179918704
mediana_global,Temperatura da Água,2026,0.2,12,4.000729100218273,3.324999999999998,0.4000729100218274,0.33249999999999985
mediana_global,Sólidos Suspensos Totais,2026,0.2,1,44.999999999999986,44.999999999999986,0.3556077417524801,0.3556077417524801
ffill_estacao,DBO,42,0.2,16,4.632523610301415,3.246250000000006,0.18531667046420341,0.11290670610426043
ffill_estacao,OD,42,0.2,10,2.9626002092756276,2.0699999999999994,0.2611166205844572,0.18112399263575268
ffill_estacao,Nitrato,42,0.2,11,0.05575922263707509,0.02545454545454545,0.5901158378769206,0.2569544222803027
ffill_estacao,Nitrogênio Amoniacal Total,42,0.2,17,4.063179716892266,3.36529411764706,0.6350236364949647,0.5263057882500376
ffill_estacao,Fósforo Total,42,0.2,14,325.9167054741775,101.40642857142812,0.4163711119748649,0.168417707625043
ffill_estacao,Condutividade,42,0.2,18,13215.869044868412,8901.277777777777,0.41178628543866175,0.27735021430104617
ffill_estacao,pH,42,0.2,22,0.9894856331356296,0.730909090909091,0.43977139250472425,0.3248484848484849
ffill_estacao,Turbidez,42,0.2,22,219.28903150035478,73.88636363636361,0.21510972986897514,0.14106209592601193
ffill_estacao,Temperatura da Água,42,0.2,20,4.605160149223912,3.2049999999999996,0.4605160149223911,0.3204999999999999
