iteracao,loss_D,loss_G,loss_G_adv,loss_G_rec,loss_G_sup,rmse_val
1,0.6923799514770508,3.7760331630706787,0.6799946427345276,0.16706819832324982,0.14253565669059753,0.37900295853614807
100,0.31628015637397766,2.423496723175049,1.4927544593811035,0.02520735003054142,0.06786687672138214,0.2904675006866455
200,0.17385241389274597,3.286311149597168,2.6520638465881348,0.01798178441822529,0.04544294625520706,0.2904725968837738
300,0.14603835344314575,3.7039856910705566,3.0108399391174316,0.013682028278708458,0.055632542818784714,0.2647319436073303
400,0.17063498497009277,3.456568717956543,2.881115674972534,0.01257811114192009,0.04496719315648079,0.27316373586654663
500,0.1593189686536789,3.6568989753723145,3.0852935314178467,0.010866972617805004,0.04629356041550636,0.3200904130935669
600,0.14841771125793457,3.5733230113983154,3.1695563793182373,0.009245641529560089,0.031131025403738022,0.2494952231645584
700,0.16779188811779022,3.6502556800842285,3.220975875854492,0.010055008344352245,0.03287297114729881,0.24981319904327393
800,0.16532334685325623,3.89612078666687,3.42189359664917,0.00981145165860653,0.03761126473546028,0.2997940182685852
900,0.1502433866262436,3.4996237754821777,3.0793545246124268,0.008678270503878593,0.03334865719079971,0.2608920931816101
1000,0.15906625986099243,3.6465961933135986,3.3130300045013428,0.008120004087686539,0.02523661218583584,0.23551051318645477
1100,0.15217186510562897,3.7041382789611816,3.3699817657470703,0.007507315371185541,0.025908321142196655,0.32264208793640137
1200,0.1552722007036209,4.187448024749756,3.798356294631958,0.007624368648976088,0.03128480166196823,0.24056942760944366
1300,0.14830449223518372,4.0680694580078125,3.7226943969726562,0.007308186963200569,0.027229320257902145,0.3216402530670166
1400,0.15293733775615692,3.545555830001831,3.2300865650177,0.007596397306770086,0.023950520902872086,0.26408857107162476
1500,0.1592567414045334,4.070892333984375,3.710724115371704,0.006651583127677441,0.029365206137299538,0.3139381408691406
1600,0.13479956984519958,4.114983081817627,3.698065996170044,0.0074349441565573215,0.03425675258040428,0.3136172592639923
1700,0.15329475700855255,4.28952169418335,3.8987786769866943,0.006273171864449978,0.03280114009976387,0.2851003408432007
1800,0.13932949304580688,3.8950083255767822,3.5717530250549316,0.0065735699608922005,0.02575194463133812,0.31559401750564575
1900,0.16275809705257416,4.056472301483154,3.806821584701538,0.006509257480502129,0.018455805256962776,0.3364340662956238
2000,0.16754668951034546,4.082911014556885,3.8036224842071533,0.005742268171161413,0.022186586633324623,0.30531975626945496
2100,0.15365105867385864,4.408445835113525,4.1329803466796875,0.006566660478711128,0.020979903638362885,0.29769498109817505
2200,0.1552915871143341,3.8957772254943848,3.6787054538726807,0.005362397525459528,0.016344796866178513,0.30121910572052
2300,0.13211815059185028,4.068459510803223,3.7981412410736084,0.006252167280763388,0.020779650658369064,0.323373407125473
2400,0.15341882407665253,4.040268421173096,3.7460570335388184,0.0058715566992759705,0.023549586534500122,0.33239567279815674
2500,0.1470881551504135,4.160787582397461,3.833679676055908,0.007229214534163475,0.02548157051205635,0.3229703903198242
2600,0.16056938469409943,4.123510360717773,3.838261604309082,0.005656862165778875,0.022868027910590172,0.34528112411499023
2700,0.16358081996440887,4.07954216003418,3.723104476928711,0.005607586819678545,0.030036183074116707,0.3080698251724243
2800,0.14681376516819,4.389307022094727,4.125580787658691,0.005310638342052698,0.021062016487121582,0.3472701907157898
2900,0.14007239043712616,4.708799839019775,4.407761573791504,0.005339871626347303,0.02476397715508938,0.35210078954696655
3000,0.14160038530826569,4.5731353759765625,4.369571208953857,0.005389085505157709,0.014967323280870914,0.34542518854141235
3100,0.13800553977489471,4.720722675323486,4.453170299530029,0.0050192102789878845,0.02173604816198349,0.3425101041793823
3200,0.1389298290014267,4.714529514312744,4.479160785675049,0.004943761508911848,0.018593108281493187,0.29688629508018494
3300,0.14557214081287384,4.3664374351501465,4.167437553405762,0.0051807258278131485,0.014719254337251186,0.3052614629268646
3400,0.15043045580387115,4.502481937408447,4.296707630157471,0.004849426914006472,0.01572800613939762,0.3090403974056244
3500,0.15474651753902435,4.151006698608398,3.946711540222168,0.0051823765970766544,0.015247112140059471,0.34330910444259644
3600,0.1523568034172058,4.430213451385498,4.151892185211182,0.005326848942786455,0.0225052647292614,0.3425464928150177
3700,0.14305423200130463,4.32231330871582,4.079662799835205,0.004522537812590599,0.01974254474043846,0.3494986891746521
3800,0.1462792605161667,4.534273147583008,4.349125385284424,0.004842230584472418,0.013672561384737492,0.2928902208805084
3900,0.13836540281772614,4.269794464111328,4.059423446655273,0.004750956315547228,0.016286157071590424,0.3453984558582306
4000,0.13993528485298157,5.094656467437744,4.910435199737549,0.004647310357540846,0.013774845749139786,0.31460994482040405
4100,0.14619670808315277,4.824183464050293,4.606825828552246,0.0045111277140676975,0.017224662005901337,0.3440513014793396
4200,0.15684248507022858,4.988494873046875,4.781254291534424,0.005009481217712164,0.015714608132839203,0.35319870710372925
4300,0.13120204210281372,5.015348434448242,4.865472316741943,0.004833145998418331,0.01015449408441782,0.3469965159893036
4400,0.16298127174377441,4.7957916259765625,4.576505661010742,0.0051155188120901585,0.016813088208436966,0.314690500497818
4500,0.1609661728143692,4.741429805755615,4.567673683166504,0.004874763078987598,0.012500876560807228,0.348769873380661
4600,0.1459021121263504,5.064756393432617,4.893129825592041,0.004927042871713638,0.012235579080879688,0.33292803168296814
4700,0.14614461362361908,4.584362030029297,4.4105963706970215,0.004761681891977787,0.012614872306585312,0.3089697062969208
4800,0.12210143357515335,5.074183464050293,4.9335618019104,0.004274182487279177,0.009788011200726032,0.33107390999794006
4900,0.13997076451778412,4.562192916870117,4.424525737762451,0.0037438112776726484,0.01002291776239872,0.30239853262901306
5000,0.13752777874469757,4.792877197265625,4.622752666473389,0.004314860794693232,0.012697577476501465,0.3428616225719452
