iteracao,loss_D,loss_G,loss_G_adv,loss_G_rec,rmse_val
1,0.6903340816497803,2.3800134658813477,0.6828131675720215,0.16972003877162933,0.3799087703227997
100,0.35299360752105713,1.506824254989624,1.4056310653686523,0.010119323618710041,0.3231569826602936
200,0.1868409961462021,2.2355971336364746,2.1924796104431152,0.004311749245971441,0.35980767011642456
300,0.15202131867408752,2.8409171104431152,2.7897086143493652,0.005120857153087854,0.44907325506210327
400,0.15553511679172516,2.905921697616577,2.877176523208618,0.002874525962397456,0.43676289916038513
500,0.15484626591205597,3.1726865768432617,3.1032540798187256,0.006943258922547102,0.4232056736946106
600,0.14803074300289154,3.02451753616333,2.941183567047119,0.008333404548466206,0.37883320450782776
700,0.1836283802986145,2.837062358856201,2.7944233417510986,0.00426389928907156,0.4637632369995117
800,0.14890561997890472,3.1628215312957764,3.122880220413208,0.0039941356517374516,0.39674609899520874
900,0.16665039956569672,3.63185977935791,3.5939412117004395,0.003791858209297061,0.43052348494529724
1000,0.1554751843214035,3.8639233112335205,3.8309969902038574,0.003292638109996915,0.45144161581993103
1100,0.1727503091096878,3.223106622695923,3.191453695297241,0.003165291389450431,0.4424281120300293
1200,0.1872793734073639,3.1771082878112793,3.1417436599731445,0.0035364592913538218,0.41280511021614075
1300,0.14127898216247559,3.2707324028015137,3.2389490604400635,0.0031783278100192547,0.4265163242816925
1400,0.16163396835327148,3.6618964672088623,3.6257147789001465,0.003618179587647319,0.4825216233730316
1500,0.13565224409103394,3.6716666221618652,3.6233530044555664,0.004831352736800909,0.4040006995201111
1600,0.14652341604232788,3.884665012359619,3.8392229080200195,0.0045441994443535805,0.43161702156066895
1700,0.16486269235610962,3.385432720184326,3.345919609069824,0.003951322752982378,0.4539056718349457
1800,0.13981126248836517,4.006802558898926,3.9531874656677246,0.005361500661820173,0.4035724401473999
1900,0.15692131221294403,3.356416940689087,3.318319082260132,0.003809784073382616,0.4585917592048645
2000,0.15785282850265503,3.8736989498138428,3.839561939239502,0.003413700731471181,0.4302506744861603
2100,0.14869223535060883,3.9686872959136963,3.9319586753845215,0.003672868013381958,0.4824497103691101
2200,0.1598624736070633,4.071924209594727,4.02315616607666,0.0048768059350550175,0.47115206718444824
2300,0.14595116674900055,3.9250240325927734,3.8975131511688232,0.002751086838543415,0.48961931467056274
2400,0.15660424530506134,4.139470100402832,4.095719337463379,0.004375056829303503,0.48699623346328735
2500,0.13566522300243378,4.0420331954956055,4.013607978820801,0.0028425257187336683,0.5038716197013855
2600,0.1402120590209961,3.8882038593292236,3.849438428878784,0.003876542905345559,0.4135943353176117
2700,0.13643532991409302,3.701202869415283,3.6697909832000732,0.0031411838717758656,0.4301922619342804
2800,0.15295973420143127,4.096778392791748,4.066195487976074,0.0030582754407078028,0.4619617462158203
2900,0.14971348643302917,3.928886890411377,3.8742074966430664,0.005467929411679506,0.4156183898448944
3000,0.1434796005487442,3.599855422973633,3.5600836277008057,0.003977182321250439,0.4360825717449188
3100,0.15941272675991058,4.232694625854492,4.204258918762207,0.0028435648418962955,0.43809595704078674
3200,0.12540382146835327,3.7860231399536133,3.7471046447753906,0.003891850123181939,0.4674363434314728
3300,0.12849700450897217,4.157081127166748,4.1154255867004395,0.004165542311966419,0.4416610598564148
3400,0.12343823164701462,4.309466361999512,4.276889324188232,0.0032576904632151127,0.48509159684181213
3500,0.13654570281505585,4.497847557067871,4.454591751098633,0.004325600806623697,0.43632280826568604
3600,0.13275283575057983,4.384941577911377,4.345643520355225,0.003929784521460533,0.3886365592479706
3700,0.1606302112340927,4.421210289001465,4.383568286895752,0.0037641848903149366,0.46903759241104126
3800,0.1516323685646057,3.961805582046509,3.9045097827911377,0.005729576572775841,0.4943544268608093
3900,0.1698678582906723,4.443140506744385,4.392081260681152,0.005105922464281321,0.444205641746521
4000,0.1782112717628479,4.2640767097473145,4.222167491912842,0.004190931562334299,0.49295493960380554
4100,0.15872608125209808,3.9037604331970215,3.8704817295074463,0.0033278795890510082,0.45061254501342773
4200,0.14995363354682922,4.237801551818848,4.191018581390381,0.004678303841501474,0.4794824421405792
4300,0.16357943415641785,4.6785888671875,4.613805294036865,0.006478375289589167,0.3791029155254364
4400,0.1433163434267044,4.999267578125,4.934773921966553,0.006449362728744745,0.45340093970298767
4500,0.13262471556663513,4.274880886077881,4.20621919631958,0.00686617149040103,0.3185402750968933
4600,0.10984588414430618,4.186111927032471,4.140348434448242,0.004576337523758411,0.5680215358734131
4700,0.13963133096694946,4.748695373535156,4.681033611297607,0.0067661902867257595,0.39238467812538147
4800,0.15524056553840637,4.556547164916992,4.510021686553955,0.004652559291571379,0.48040032386779785
4900,0.14328715205192566,4.212536811828613,4.1610589027404785,0.0051477886736392975,0.39597606658935547
5000,0.16835634410381317,4.225388526916504,4.140957355499268,0.008443108759820461,0.5386281609535217
