metodo,variavel,n,KS_stat,KS_pvalue,sd_real,sd_imputado,sd_ratio,preserva_dist_5pct
gain,DBO,43,0.2558139534883721,0.12016305479370333,11.764887093712211,6.263137340932017,0.5323584740799914,True
gain,OD,37,0.2972972972972973,0.07567700530211428,3.123520670874675,3.096992477145298,0.9915069575249688,True
gain,Nitrato,43,0.3023255813953488,0.038707326753354344,0.1448801391031006,0.101032140400718,0.6973498301849422,False
gain,Nitrogênio Amoniacal Total,40,0.325,0.02860307028023343,2.5812713524292246,2.29011999208631,0.8872062171732107,False
gain,Fósforo Total,32,0.1875,0.6351394872698826,214.2094414575981,0.3220457344511961,0.0015034152195151668,True
gain,Condutividade,41,0.14634146341463414,0.778914912323089,15614.87313390041,12282.592821934955,0.7865957485923493,True
gain,pH,53,0.2641509433962264,0.04912933177517805,0.6731963485176333,0.3702028277329023,0.5499180566681363,False
gain,Turbidez,54,0.2037037037037037,0.2136745108832947,165.75048746514622,28.962775877634876,0.17473719878938593,True
gain,Temperatura da Água,47,0.3617021276595745,0.003974551461205535,3.5318885624777763,3.1758870067041634,0.8992036273296624,False
gain,Sólidos Suspensos Totais,10,0.3,0.7869297884777761,29.600300298777,24.754846822437074,0.8363039081552789,True
knn,DBO,43,0.16279069767441862,0.6249070014938026,11.764887093712211,7.034307751743243,0.5979069493580398,True
knn,OD,37,0.4864864864864865,0.0002453174319335553,3.123520670874675,1.7070785462630778,0.5465238511724166,False
knn,Nitrato,43,0.3023255813953488,0.038707326753354344,0.1448801391031006,0.14320577762921463,0.9884431262680218,False
knn,Nitrogênio Amoniacal Total,40,0.475,0.00018791118070078278,2.5812713524292246,1.542997070772258,0.5977663174854319,False
knn,Fósforo Total,32,0.1875,0.6351394872698826,214.2094414575981,0.386327618981352,0.001803504160939722,True
knn,Condutividade,41,0.24390243902439024,0.17539102860197298,15614.87313390041,9459.84946923257,0.6058230116961323,True
knn,pH,53,0.24528301886792453,0.08228855958932806,0.6731963485176333,0.35586401020457253,0.5286184498596567,True
knn,Turbidez,54,0.2037037037037037,0.2136745108832947,165.75048746514622,24.06912892977454,0.14521302047353413,True
knn,Temperatura da Água,47,0.2765957446808511,0.054452894761163696,3.5318885624777763,2.3982166369426334,0.6790182064125427,True
knn,Sólidos Suspensos Totais,10,0.6,0.05244755244755244,29.600300298777,9.020355706330568,0.3047386551920645,True
mice,DBO,43,0.27906976744186046,0.06992148407130162,11.764887093712211,11.032993281593667,0.9377899841886533,True
mice,OD,37,0.21621621621621623,0.35648804035053694,3.123520670874675,2.4039150075723215,0.7696171278735788,True
mice,Nitrato,43,0.3023255813953488,0.038707326753354344,0.1448801391031006,0.019351291299531163,0.1335675919372238,False
mice,Nitrogênio Amoniacal Total,40,0.4,0.003018184077228396,2.5812713524292246,15.023798078548586,5.820309462780713,False
mice,Fósforo Total,32,0.1875,0.6351394872698826,214.2094414575981,0.4238706596260296,0.0019787674004552833,True
mice,Condutividade,41,0.14634146341463414,0.778914912323089,15614.87313390041,13341.748335177821,0.8544256633255919,True
mice,pH,53,0.2641509433962264,0.04912933177517805,0.6731963485176333,0.45744114751784165,0.679506281525619,False
mice,Turbidez,54,0.14814814814814814,0.5984842563735271,165.75048746514622,104.04185882269317,0.6277016762594496,True
mice,Temperatura da Água,47,0.3191489361702128,0.016154625944318796,3.5318885624777763,2.793618705081532,0.7909702290045315,False
mice,Sólidos Suspensos Totais,10,0.3,0.7869297884777761,29.600300298777,25.909460152995084,0.875310719535693,True
