metodo,variavel,seed,miss_rate,n_avaliado,RMSE,MAE,RMSE_norm,MAE_norm
gain,DBO,42,0.1,9,16.954204916991902,9.617614261581686,0.20350192576842666,0.16947059466640713
gain,OD,42,0.1,4,4.415072931073002,3.729045922569109,0.4247347311546033,0.34556258287239683
gain,Nitrato,42,0.1,2,0.3331396922412575,0.3330921487578845,0.3609055122052351,0.3604815885697793
gain,Nitrogênio Amoniacal Total,42,0.1,8,4.94332374270768,3.678014827500496,0.7392946275201978,0.6075331286060727
gain,Fósforo Total,42,0.1,4,0.1701963658891895,0.11250897402196622,0.05081710579811325,0.03120919178429949
gain,Condutividade,42,0.1,9,4147.7366975513005,3065.878500872188,0.1292371377064654,0.09552808938967369
gain,pH,42,0.1,11,0.4244151251081538,0.2701636692195794,0.18862894449251283,0.12007274187536865
gain,Turbidez,42,0.1,10,35.88018168023847,25.77982431269184,0.2926699814152965,0.23520421134007372
gain,Temperatura da Água,42,0.1,13,5.36387803479137,4.013928226782726,0.536387803479137,0.4013928226782726
gain,Sólidos Suspensos Totais,42,0.1,2,26.79555665622048,25.92897569276089,0.282542467442308,0.27428016071699857
gain,DBO,7,0.1,8,7.878549502329391,4.738211251748409,0.19625220897554263,0.1299202204305413
gain,OD,7,0.1,6,2.333352318614876,1.2709789103762414,0.2916857629667609,0.15178070379901193
gain,Nitrato,7,0.1,13,0.13792420208186346,0.08985629468212683,0.574647951083112,0.5163453187486116
gain,Nitrogênio Amoniacal Total,7,0.1,8,5.032728830950483,4.099138142206269,0.654549058619105,0.5216946299426164
gain,Fósforo Total,7,0.1,3,0.07244630804214036,0.06298579742625839,0.029574121224946216,0.021989103253426928
gain,Condutividade,7,0.1,6,7950.894175132409,5539.838950882821,0.24773771343965875,0.17261291677207016
gain,pH,7,0.1,7,0.3469127874657839,0.27923571065600405,0.1541834610959039,0.12410476029155733
gain,Turbidez,7,0.1,10,23.258307668350977,16.299904400689424,0.2171850148896546,0.1788528706374342
gain,Temperatura da Água,7,0.1,7,1.6932412551283995,1.3479941902416093,0.16932412551283996,0.13479941902416087
