metodo,frobenius_diff,max_abs_diff,n_pares,n_pares_significativos_preservados,de_pares_sig
mediana_global,1.6100805530188262,0.8511549657278024,45,3,5
media_global,1.6594003698006452,0.8989897254173254,45,3,5
gain,1.6860153542193015,0.9365842576117747,45,5,5
knn,1.6949043298635937,1.1487170123710582,45,5,5
mice,1.697984835313759,0.9584783318561918,45,5,5
ffill_estacao,1.8217672527540774,0.968745879821971,45,4,5
media_estacao,2.014577044805718,1.2385950353959467,45,4,5
missforest,2.082610415022275,1.069685885146552,45,5,5
